accident_date,aircraft_type,registration,operator,fatalities,location,damage_type
1995-04-27,IAI 1124Â Westwind,VH-AJS,Pel-Air,3,"9 km NW of Alice Springs Airport, NT (ASP)",Write-Off
1995-04-28,Douglas DC-8-54F,N43UA,"Faucett PerÃº, lsf Millon Air",0+6,Guatemala City-La Aurora Airport (GUA),Write-Off
1995-04-28,British Aerospace BAe-748-334 Srs. 2A,CR835,Sri Lanka Air Force,47,"0,2 km from Jaffna-Palaly AFB (JAF)",Write-Off
1995-04-29,British Aerospace BAe-748-357 Srs. 2B SCD,CR834,Sri Lanka Air Force,50,near Jaffna-Palaly Airport (JAF/VCCJ),Write-Off
1995-05-01,Boeing 727-21F,HK-1717,Aerosucre Colombia,0,"Taguatinga Airport, TO (QHN)",Substantial
1995-05-01,CASA/Nurtanio NC-212-AB4 Aviocar 200,PK-NCS,Merpati Nusantara Airlines,0,Naha Airport (NAH),Substantial
1995-05-01,Fairchild SA227-CC Metro 23,C-GYYB,Bearskin Airlines,3+5,"Sioux Falls, ON",Write-Off
1995-05-03,Grumman G-1159 Gulfstream II,N409MA,American Jet,7,ca 50 km SSE of Quito-Mariscal Sucre Airport (UIO),Write-Off
1995-05-04,Antonov An-2,RA-19550,Magnitogorsk ROSTO,3,"1,3 km SSW of Sibay Airport, Bashkortostan",Write-Off
1995-05-06,Cessna 550 Citation II,N26496,United States Department of Homeland Security,0,Comayagua-Palmerola Air Base (XPL),Substantial
1995-05-09,Curtiss C-46F-1-CU Commando,HK-3079-G,COINCO - Cooperativa Interregional de Colombia,9,"5,1 km N of Villavicencio-La Vanguardia Airport (VVC)",Write-Off
1995-05-09,Antonov An-12B,RA-11127,Pulkovo Aviation Enterprise,0,Lukapa Airport (LBZ),Write-Off
1995-05-11,Lockheed L-100-30 Hercules,PK-PLU,Pelita Air Service,0,Jayapura-Sentani Airport (DJJ),Substantial
1995-05-13,Lockheed C-130E Hercules,62-1838,United States Air Force - USAF,6,"Bliss Canyon, ID",Write-Off
1995-05-15,de Havilland Canada C-115 Buffalo (DHC-5),2361,ForÃ§a AÃ©rea Brasileira - FAB,,"Manaus Air Base, AM (PLL)",Write-Off
1995-05-16,British Aerospace Nimrod R.1P,XW666,Royal Air Force - RAF,0,"7,2 km NE off Lossiemouth",Write-Off
1995-05-19,Convair CV-580F SCD,EC-899,Swiftair,0,Vitoria Airport (VIT),Write-Off
1995-05-19,Boeing 737-3T0,N60312,Continental Airlines,0,"Tallahassee, FL",None (No Damage)
1995-05-22,Convair CV-440,CP-2142,SASA - Servicios AÃ©reos Santa Ana,1,San Borja-Capitan G.Q. Guardia Airport (SRJ),Write-Off
1995-05-23,Learjet 35A,N450MC,Wal-Mart Aviation,0,"Rogers Municipal Airport-Carter Field, AR (ROG)",Substantial
1995-05-24,Boeing 727-232,N489DA,Delta Air Lines,0,"West Palm Beach International Airport, FL (PBI)",Substantial
1995-05-24,Embraer EMB-110P1 Bandeirante,G-OEAA,"Knight Air, lsf Euroair",12,10 km NE of Leeds/Bradford Airport (LBA),Write-Off
1995-05-25,Douglas DC-3C,HK-3213,LACOL Colombia,5,near Miraflores Airport (MFS),Write-Off
1995-05-28,Boeing 747-467,VR-HOX,Cathay Pacific Airways,0,near Hong Kong-Kai Tak International Airport (HKG),Substantial
1995-05-31,Fokker F-28 Fellowship 1000,P2-ANB,Air Niugini,0,Madang Airport (MAG),Write-Off
,Britten-Norman BN-2A-8 Islander,N454CT,Perna Aviation,,,Write-Off
1995-06-03,Boeing 747-238B (SF),N706CK,Kalitta American International Airways,0,Panama City-Tocumen International Airport (PTY/MPTO),Substantial
1995-06-03,Airbus A320-211,N326US,Northwest Airlines,0,"Minneapolis-St. Paul International Airport, MN (MSP)",Substantial
1995-06-05,Lockheed L-100-30 Hercules,N906SJ,Southern Air Transport,0,"Nixon Fork Mine, AK",Substantial
1995-06-07,Shorts SC.7 Skyvan 3-100,OE-FDL,Pink Aviation Services,0,Hohenems Airport (HOH),Write-Off
1995-06-07,Let L-410UVP,146,Latvian Air Force,2,Lielvarde Air Base,Write-Off
1995-06-08,McDonnell Douglas DC-9-32,N908VJ,ValuJet Airlines,0,"Atlanta-William B. Hartsfield International Airport, GA (ATL)",Substantial
1995-06-09,de Havilland Canada DHC-8-102,ZK-NEY,Ansett New Zealand,4,16 km E of Palmerston North,Write-Off
1995-06-12,Learjet 35,XA-SVX,Servicios TurÃ­sticos,0,Magdalena de Kino Airport,Write-Off
1995-06-12,Reims Cessna F406 Caravan II,5Y-ING,Tawakal Airlines,,Nairobi,Write-Off
1995-06-14,Antonov An-2R,CCCP-68142,Volga Airlines,,near Volgograd,Write-Off
1995-06-15,Dornier 228-201,B-12288,Formosa Airlines,0,Taitung Airport (TTT),Write-Off
1995-06-16,Antonov An-2P,RA-07743,Nikolayevski Aviation Enterprise,13,22 km from Herpuchi,Write-Off
1995-06-16,Antonov An-74,RA-74041,"Liana, lsf Aviakor",0,Keperveyem Airport,Substantial
1995-06-16,Fokker F-27 Friendship 400M,TC-73,Lineas AÃ©reas del Estado - LADE,0,Jeremie Airport (JEE),Write-Off
1995-06-17,Antonov An-2R,UK-33058,Uzbekistan Airways,,43 km from Nukus,Write-Off
1995-06-17,CASA C-212 Aviocar 200,T-401,ForÃ§a AÃ©rea Popular de Angola,48,15 km E of Catumbela Airport (CBT),Write-Off
1995-06-18,Dornier 228-201,B-12208,Formosa Airlines,0,Green Island Airport (GNI),Write-Off
1995-06-20,Boeing 767-222,N606UA,United Airlines,0,"Champagne, IL",None (No Damage)
1995-06-21,Boeing 747SR-81,JA8146,All Nippon Airways - ANA,0,Hakodate Airport (HKD),None (No Damage)
1995-06-21,Douglas C-54G (DC-4),N4989P,Aero Union,2+1,"1,6 km E of Ramona, CA",Write-Off
1995-06-23,Learjet 35A,XA-SWF,AÃ©reo Reservaciones Ejecutivas,2,"8,3 km S of Tepic Airport (TPQ)",Write-Off
1995-06-24,Tupolev Tu-134A,RA-65617,"Harka Air Services, lsf Komi Avia",16,Lagos-Murtala Muhammed Airport (LOS),Write-Off
1995-06-27,IAI Arava 201,T-204,Fuerza AÃ©rea Ecuatoriana,0,Pastaza-Shell AFB,Substantial
1995-06-27,Convair CV-440-98F,N356SA,Salair,2,near La Romana,Write-Off
