acc. date,type,reg.,operator,fat.,location,Unnamed: 6,dmg,Unnamed: 8,Unnamed: 9
7 Jun 1995,Shorts SC.7 Skyvan 3-100,OE-FDL,Pink Aviation Services,0,Hohenems Airport (HOH),,w/o,,
7 Jun 1995,Let L-410UVP,146,Latvian Air Force,2,Lielvarde Air Base,,w/o,,
8 Jun 1995,McDonnell Douglas DC-9-32,N908VJ,ValuJet Airlines,0,"Atlanta-William B. Hartsfield International Airport, GA (ATL)",,sub,,
9 Jun 1995,de Havilland Canada DHC-8-102,ZK-NEY,Ansett New Zealand,4,16 km E of Palmerston North,,w/o,,
12 Jun 1995,Learjet 35,XA-SVX,Servicios TurÃ­sticos,0,Magdalena de Kino Airport,,w/o,,
12 Jun 1995,Reims Cessna F406 Caravan II,5Y-ING,Tawakal Airlines,,Nairobi,,w/o,,
14 Jun 1995,Antonov An-2R,CCCP-68142,Volga Airlines,,near Volgograd,,w/o,,
15 Jun 1995,Dornier 228-201,B-12288,Formosa Airlines,0,Taitung Airport (TTT),,w/o,,
16 Jun 1995,Antonov An-2P,RA-07743,Nikolayevski Aviation Enterprise,13,22 km from Herpuchi,,w/o,,
16 Jun 1995,Antonov An-74,RA-74041,"Liana, lsf Aviakor",0,Keperveyem Airport,,sub,,
16 Jun 1995,Fokker F-27 Friendship 400M,TC-73,Lineas AÃ©reas del Estado - LADE,0,Jeremie Airport (JEE),,w/o,,
17 Jun 1995,Antonov An-2R,UK-33058,Uzbekistan Airways,,43 km from Nukus,,w/o,,
17 Jun 1995,CASA C-212 Aviocar 200,T-401,ForÃ§a AÃ©rea Popular de Angola,48,15 km E of Catumbela Airport (CBT),,w/o,,
18 Jun 1995,Dornier 228-201,B-12208,Formosa Airlines,0,Green Island Airport (GNI),,w/o,,
20 Jun 1995,Boeing 767-222,N606UA,United Airlines,0,"Champagne, IL",,non,,
21 Jun 1995,Boeing 747SR-81,JA8146,All Nippon Airways - ANA,0,Hakodate Airport (HKD),,non,,
21 Jun 1995,Douglas C-54G (DC-4),N4989P,Aero Union,2+1,"1,6 km E of Ramona, CA",,w/o,,
23 Jun 1995,Learjet 35A,XA-SWF,AÃ©reo Reservaciones Ejecutivas,2,"8,3 km S of Tepic Airport (TPQ)",,w/o,,
24 Jun 1995,Tupolev Tu-134A,RA-65617,"Harka Air Services, lsf Komi Avia",16,Lagos-Murtala Muhammed Airport (LOS),,w/o,,
27 Jun 1995,IAI Arava 201,T-204,Fuerza AÃ©rea Ecuatoriana,0,Pastaza-Shell AFB,,sub,,
27 Jun 1995,Convair CV-440-98F,N356SA,Salair,2,near La Romana,,w/o,,
28 Jun 1995,Cessna 208 Caravan I,N9825F,Transnorthern Aviation,0,"Talkeetna, AK",,sub,,
1 Jul 1995,Ilyushin Il-62,,Domodedovo Airlines,0,Noril'sk Airport (NSK),,non,,
1 Jul 1995,de Havilland Canada C-7A Caribou (DHC-4),P2-VTC,Vanimo Trading,2,8 km from Kiunga,,w/o,,
1 Jul 1995,Fokker F-27 Friendship 500RF,VT-EWE,East West Airlines,0,Baroda (Vadodara) Airport (BDQ),,w/o,,
8 Jul 1995,Pilatus Britten-Norman BN-2B-27Â Islander,TR-LBJ,Air Inter Gabon,0,Medouneu Airport (MDV),,w/o,,
12 Jul 1995,de Havilland Canada DHC-6 Twin Otter 300,P2-MBI,Milne Bay Air,15,2 km E of Alotau-Gurney Airport (GUR),,w/o,,
12 Jul 1995,Mitsubishi Mu-300 Diamond IA,TC-YIB,Yibitas Air,0,Istanbul-AtatÃ¼rk Airport (IST),,w/o,,
13 Jul 1995,de Havilland Canada DHC-3 Otter,N472PM,Taquan Air Service,0,"Ketchikan, AK",,sub,,
16 Jul 1995,Antonov An-2R,RA-81506,Shakhtinsky ARZ - ShARZ,0,near Zelyony Log,,w/o,,
17 Jul 1995,de Havilland Canada DHC-6 Twin Otter 300,PK-NUT,Merpati Nusantara Airlines,1,Bintuni Airport (NTI),,w/o,,
17 Jul 1995,Embraer EMB-120RT Brasilia,N268UE,"United Express, opb West Air Commuter Airlines",0,"Los Angeles International Airport, CA (LAX)",,sub,,
18 Jul 1995,Douglas C-47A-80-DL (DC-3),5R-MMG,ArmÃ©e de l'Air Malgache,36,Antananarivo-Ivato Airport (TNR),,w/o,,
19 Jul 1995,Douglas C-47A-75-DL (DC-3C),N54NA,N.F. Stadler,1,"near Independence, NY",,w/o,,
23 Jul 1995,de Havilland Canada DHC-6 Twin Otter 200,N926MA,Coronado Skydiving Center,,"Belen, NM",,non,,
24 Jul 1995,Gulfstream G-IV,N480UP,Union Pacific Aviation,0,"Denver-Centennial Airport, CO (APA)",,sub,,
25 Jul 1995,Britten-Norman BN-2A-20Â Islander,P2-TNT,Transniugini Airways,2,near Karimui Airport (KMR),,w/o,,
