acc. date,type,reg.,operator,fat.,location,Unnamed: 6,dmg,Unnamed: 8,Unnamed: 9
29 Jan 2013,Canadair CL-600-2B19 Regional Jet CRJ-200ER,UP-CJ006,SCAT,21,"1,6 km NE of Almaty Airport (ALA)",,w/o,,
2 Feb 2013,ATR 72-500 (72-212A),YR-ATS,"Alitalia, opb Carpatair",0,Roma-Fiumicino Airport (FCO),,sub,,
6 Feb 2013,Airbus A320-211,TS-IMB,Tunis Air,0,Tunis-Carthage Airport (TUN),,sub,,
7 Feb 2013,Antonov An-2R,UR-54853,Poltava-Aero,0,"Knyazhin, Zhytomyr region",,sub,,
9 Feb 2013,Beechcraft 1900C,C-FPCO,Pacific Coastal Airlines,0,"Blue River Airport, BC (CYCP)",,sub,,
11 Feb 2013,McDonnell Douglas MD-83,LV-AYD,Andes LÃ­neas AÃ©reas,0,"Salta-MartÃ­n Miguel de GÃ¼emes International Airport, SA (SLA)",,unk,,
11 Feb 2013,Boeing 737-33A,AP-BEH,Pakistan International Airlines - PIA,0,Muscat-Seeb Airport (MCT),,sub,,
11 Feb 2013,IPTN/CASA CN-235-220,3X-GGG,Republique de GuinÃ©e,11,ca 4 km S of Monrovia-Roberts International Airport (ROB),,w/o,,
13 Feb 2013,Antonov An-24RV,UR-WRA,South Airlines,5,Donetsk Airport (DOK),,w/o,,
13 Feb 2013,Airbus A330-323,HL7710,Korean Air,0,187 miles east of Tianjin Airport,,non,,
15 Feb 2013,Embraer EMB-500 Phenom 100,OO-MAS,Abelag Aviation,0,Berlin-SchÃ¶nefeld Airport (SXF/EDDB),,sub,,
19 Feb 2013,Embraer EMB-145LR,N283SK,"Delta Connection, opb Chautauqua Airlines",0,"Cincinnati/Northern Kentucky Airport, KY (CVG/KCVG)",,non,,
19 Feb 2013,Boeing 747-422,N174UA,United Airlines,0,over Pacific Ocean,,non,,
20 Feb 2013,Hawker Beechcraft 390 Premier IA,N777VG,The Vein Guys,5,"Thomson-McDuffie County Airport, GA",,w/o,,
24 Feb 2013,Embraer ERJ-190AR,N164HQ,"Frontier Airlines, opb Republic Airlines",0,"Tunica Municipal Airport, MS (UTM/KUTA)",,non,,
28 Feb 2013,Let L-410UVP-E9,LZ-CCJ,"United Nations - UN, lsf Heli Air Services",0,Wau Airport (WUU),,w/o,,
2 Mar 2013,Airbus A310-304,CS-TGU,SATA Internacional,0,"Ponta Delgada-JoÃ£o Paulo II Airport, Azores (PDL)",,sub,,
2 Mar 2013,Antonov An-2T,RF-01024,DOSAAF,0,2 km from Rybinsk Airport (RYB),,sub,,
4 Mar 2013,Fokker 50,9Q-CBD,Compagnie Africaine d'Aviation - CAA,7,Goma Airport (GOM),,w/o,,
4 Mar 2013,Hawker Beechcraft 390 Premier IA,VP-CAZ,Global Jet Luxembourg,2,"0,5 km SE of Annemasse Airport (QNJ)",,w/o,,
6 Mar 2013,Beechcraft B200 King Air,OB-1992-P,Aero Transporte SA - ATSA,9,"1,4 km S of Pias Airport",,w/o,,
7 Mar 2013,Boeing 757-232,N698DL,Delta Air Lines,0,"Atlanta-William B. Hartsfield International Airport, GA (ATL)",,sub,,
7 Mar 2013,Fairchild SA227-AC Metro III,D-CAVA,Bin Air,0,Dublin Airport (DUB),,sub,,
8 Mar 2013,Beechcraft 1900C-1,N116AX,ACE Air Cargo,2,"32 km NE of Dillingham Municipal Airport, AK (DLG)",,w/o,,
16 Mar 2013,Boeing 737-5U3,PK-GGA,Garuda Indonesia Airways,0,Jakarta-Soekarno-Hatta International Airport (CGK),,sub,,
16 Mar 2013,Airbus A320-214,N620SC,GECAS,0,Jakarta-Soekarno-Hatta International Airport (CGK),,w/o,,
17 Mar 2013,Hawker Beechcraft 390 Premier IA,N26DK,Digicut Systems,2,"1 km S of South Bend Regional, IN (SBN)",,w/o,,
22 Mar 2013,Grumman G-159 Gulfstream I,9Q-CTC,Malu Aviation,0,Djolu Airport,,w/o,,
22 Mar 2013,Boeing 757-330,D-ABOC,Condor,0,Las Palmas,,non,,
23 Mar 2013,Antonov An-2R,RA-02203,Yug Line,1,"3 km N of Vostochnaya, Ust'-Labinsk region, Krasnodarskiy kray",,w/o,,
27 Mar 2013,de Havilland Canada DHC-6 Twin Otter 300,C-FOPN,Air Labrador,0,"St. Anthony Airport, NL (YAY)",,sub,,
29 Mar 2013,Airbus A321-111,SX-BHS,"Air MÃ©diterranÃ©e, lsf Hermes Airlines",0,Lyon Saint-ExupÃ©ry Airport (LYS),,min,,
1 Apr 2013,Britten-Norman BN-2A-27 Islander,YJ-RV16,Air Vanuatu,0,Walaha Airport (WLH),,sub,,
5 Apr 2013,Boeing 737-3U3,PK-GGN,Citilink Indonesia,0,Padang-Minangkabau International Airport (PDG/WIEE),,sub,,
5 Apr 2013,Airbus A321-231,N560UW,US Airways,0,"Las Vegas-McCarran International Airport, NV (LAS)",,sub,,
7 Apr 2013,Beechcraft 1900C-1,ZS-PHL,"Group Transair, lst Sahel Aviation Service",1,"14,5 km off SÃ£o TomÃ© Island Airport (TMS)",,mis,,
10 Apr 2013,Airbus A320-214,G-OZBY,Monarch Airlines,0,Glasgow-Prestwick Airport (PIK/EGPK),,min,,
10 Apr 2013,Antonov An-26,EK26407,South Airlines Co,0,Doro Airstrip,,w/o,,
13 Apr 2013,Boeing 737-8GP (WL),PK-LKS,Lion Air,0,Denpasar-Ngurah Rai Bali International Airport (DPS),,sub,,
16 Apr 2013,Cessna 510 Citation Mustang,LX-FGL,Flying Group Lux S.a.,0,"Luxembourg,",,sub,,
16 Apr 2013,Airbus A321-231,HL7730,Asiana Airlines,0,Seoul-Incheon International Airport (ICN),,sub,,
16 Apr 2013,Boeing 767-283ER,XA-TOJ,AeromÃ©xico,0,Madrid-Barajas Airport (MAD),,sub,,
17 Apr 2013,de Havilland Canada DHC-6 Twin Otter 300,RDPL-34180,Lao Air,0,Sam Neua Airport (NEU),,sub,,
17 Apr 2013,Boeing 737-8GK (WL),5A-DMG,Buraq Air,0,13 km W of Tripoli International Airport (TIP),,min,,
23 Apr 2013,British Aerospace BAe-125 CC3 (HS-125-700),ZD704,Royal Air Force - RAF,0,Kandahar Airport (KDH),,sub,,
27 Apr 2013,Beechcraft MC-12W Liberty (King Air 350),09-0676,United States Air Force - USAF,4,204 km NE of Kandahar Airport (KDH),,w/o,,
27 Apr 2013,Bombardier DHC-8-402Q Dash 8,C-GKQD,Porter Airlines,0,"Toronto City-Billy Bishop Airport, ON (YTZ/CYTZ)",,sub,,
29 Apr 2013,Dassault Falcon 900EX,F-HDLJ,Dassault Falcon Service,0+1,Kinshasa-N'Djili Airport (FIH/FZAA),,min,,
29 Apr 2013,Boeing 747-428 (BCF),N949CA,National Airlines (National Air Cargo),7,Bagram Air Base (BPM),,w/o,,
30 Apr 2013,Beechcraft 300 Super King Air,XC-LMV,ProcuradurÃ­a General de la RepÃºblica - PGR,6,"2,6 km S of Zacatecas-La Calera Airport (ZCL)",,w/o,,
1 May 2013,Embraer EMB-145LR (ERJ-145LR),N17560,"United Express, opb ExpressJet Airlines",0,"Newark-Liberty International Airport, NJ (EWR)",,sub,,
1 May 2013,Airbus A330-343X,LN-RKO,Scandinavian Airlines System - SAS,0,"Newark-Liberty International Airport, NJ (EWR)",,sub,,
1 May 2013,McDonnell Douglas DC-9-82 (MD-82),N7518A,American Airlines,0,"Dallas/Fort Worth International Airport, TX (DFW)",,min,,
3 May 2013,Boeing KC-135R Stratotanker,63-8877,United States Air Force - USAF,3,S of Chaldovar,,w/o,,
5 May 2013,de Havilland Canada DHC-6 Twin Otter 300,C-GKBO,Kenn Borek Air,0,northeast coast of Greenland,,sub,,
5 May 2013,Learjet 60,N119FD,Lytham Group Inc.,2,ca 2 km W of Valencia-Arturo Michelena International Airport (VLN),,w/o,,
8 May 2013,British Aerospace BAe-146-200QT,PK-JKC,Nusantara Air Charter,0,Wamena Airport (WMX),,w/o,,
9 May 2013,Airbus A320-211,N327NW,Delta Air Lines,0,"Dallas, Texas",,non,,
10 May 2013,CASA/Nurtanio NC-212 Aviocar 200,PK-TLG,Nusantara Buana Air,0,near Ternate,,min,,
10 May 2013,Antonov An-2R,YR-LRA,Aero Scoroget,0,Strehaia,,sub,,
11 May 2013,Embraer ERJ-175LR,N208JQ,"Delta Connection, opb Shuttle America",0,"New York-La Guardia Airport, NY (LGA/KLGA)",,non,,
13 May 2013,Learjet 35A,N22MS,Evergreen International Aviation,0,"McMinnville Municipal Airport, OR",,sub,,
15 May 2013,Antonov An-2R,RA-31403,Aviakompanija Annushka,1,"11 km N of Chernolesskoye, Novoselitskiy rayon, Stavropol",,w/o,,
16 May 2013,Boeing 737-35N,B-2995,Shandong Airlines,0,Jinan-Yaoqiang Airport (TNA),,w/o,,
16 May 2013,Xian MA60,XY-AIQ,Myanma Airways,0,Mong Hsat Airport (MOG),,sub,,
16 May 2013,de Havilland Canada DHC-6 Twin Otter 300,9N-ABO,Nepal Airlines,0,Jomsom Airport (JMO),,sub,,
16 May 2013,Harbin Y-12-II,B-3801,China Flying Dragon Aviation,0,1 km NE of Shenyang-Taoxian International Airport (SHE),,w/o,,
18 May 2013,Cessna 500 Citation I,PT-LPZ,BFB Leasing S.A. Arrendamento Mercantil,0,"SÃ£o Paulo-Campo de Marte Airport, SP",,sub,,
18 May 2013,de Havilland Canada DHC-8-102 Dash 8,N934HA,"US Airways Express, opb Piedmont",0,"Newark-Liberty International Airport, NJ (EWR)",,sub,,
19 May 2013,Lockheed C-130J-30 Super Hercules,04-3144,United States Air Force - USAF,0,Forward Operating Base Shank (OAA),,sub,,
20 May 2013,Boeing 737-3Q8 (SF),PK-YRZ,Trigana Air Service,0,Wamena Airport (WMX),,min,,
24 May 2013,Airbus A320-232,LZ-MDR,Air VIA,0,Varna Airpot (VAR),,sub,,
24 May 2013,Airbus A319-131,G-EUOE,British Airways,0,London-Heathrow Airport (LHR),,sub,,
24 May 2013,Antonov An-2SX,EX-02015,Valor Air,3,"2,5 km NW of Jyl-Kol, Jalal-Abad region",,w/o,,
24 May 2013,Boeing 777-340ER,AP-BID,Pakistan International Airlines - PIA,0,London-Stansted Airport (STN),,non,,
26 May 2013,Bombardier DHC-8-402Q Dash 8,C-GLQO,Porter Airlines,0,"Sault Ste. Marie Airport, ON (YAM)",,sub,,
26 May 2013,Boeing KC-137E (707-324C),2404,ForÃ§a AÃ©rea Brasileira - FAB,0,Port-au-Prince-Mais Gate Airport (PAP),,sub,,
27 May 2013,Cessna 208B Grand Caravan,9N-AJU,Goma Air,0,Simikot Airport (IMK),,sub,,
31 May 2013,Embraer EMB-110,PT-WCM,,,"Guarulhos, SP",,,,
31 May 2013,British Aerospace ATP-F,PK-DGI,Deraya Air Taxi,0,Wamena Airport (WMX),,sub,,
xx May 2013,Lockheed C-130H Hercules,T.10-02,EjÃ©rcito del Aire,0,unknown,,w/o,,
1 Jun 2013,Dornier 228-202K,9N-AHB,Sita Air,0,Simikot Airport (IMK),,sub,,
2 Jun 2013,Airbus A320-214,RP-C3266,Cebu Pacific Air,0,Davao City-Francisco Bangoy International Airport (DVO),,sub,,
3 Jun 2013,Beechcraft B200 Super King Air,ZS-GJV,RV Consulting Partnership,0,Lanseria Airport (HLA),,sub,,
7 Jun 2013,Beechcraft B200GT King Air 250,N510LD,Osage Air LLC,1,"4,7 km N of Baton Rouge Metropolitan Airport, LA (BTR)",,w/o,,
7 Jun 2013,Embraer EMB-145LI (ERJ-145LI),B-3052,China Eastern Airlines,0,Shanghai-Hongqiao Airport (SHA),,sub,,
8 Jun 2013,Cessna 208B Super Cargomaster,C-FZDN,Skydive Toronto,0,"0,3 km S of Cookstown Airport, ON",,sub,,
8 Jun 2013,Airbus A320-232,HA-LWM,Wizz Air,0,Roma-Fiumicino Airport (FCO),,sub,,
10 Jun 2013,Beechcraft 100 King Air,C-GJSU,Aviation Flycie,0,"0,9 km W of Saint-Mathieu-de-Beloeil Airport, QC",,sub,,
10 Jun 2013,Cessna 208 Caravan I,TT-BAU,CotonTchad,1,ca 1 km from N'GaoundÃ©rÃ© Airport (NGE),,w/o,,
10 Jun 2013,Xian MA60,XY-AIP,Myanma Airways,0,Kawthaung Airport (KAW),,sub,,
10 Jun 2013,Xian MA60,PK-MZO,Merpati Nusantara Airlines,0,Kupang-El Tari Airport (KOE),,sub,,
11 Jun 2013,Beechcraft A100 King Air,C-FDOY,Wabusk Air,0,"Kapuskasing Airport, ON (YYU)",,sub,,
13 Jun 2013,Airbus A319-111,RP-C3197,Cebu Pacific Air,0,Manila-Ninoy Aquino International Airport (MNL),,min,,
13 Jun 2013,McDonnell Douglas MD-88,N995DL,Delta Air Lines,0,"Nashville International Airport, TN (BNA)",,sub,,
13 Jun 2013,Saab 340B,C6-SBJ,SkyBahamas Airlines,0,Marsh Harbour International Airport (MHH),,sub,,
13 Jun 2013,Canadair CL-600-2B16 Challenger 601-3A,N613SB,Grady International Inc.,0,"Chino Airport, CA (CNO)",,sub,,
14 Jun 2013,Airbus A320-214,D-ABDB,Air Berlin,0,DÃ¼sseldorf International Airport (DUS/EDDL),,non,,
16 Jun 2013,Bombardier BD-700-1A11 Global 5000,M-YSAI,Capital Investment Worldwide Inc.,0,Singapore-Seletar Airport (XSP),,sub,,
18 Jun 2013,IAI 1124 Westwind,N112EM,E. Micah Aviation,0,"Cincinnati Municipal Airport, OH (LUK)",,sub,,
19 Jun 2013,Antonov An-2R,HA-MDP,Gergely Air,0,"ca 0,5 km NE of FertÃ¶szentmiklÃ³s Airport",,sub,,
25 Jun 2013,Beechcraft 200 Super King Air,N92JR,Tennair,0,"ca 0,3 km N of Chicago-Executive Airport, IL (PWK)",,sub,,
28 Jun 2013,Reims Cessna F406 Caravan II,5H-TZC,Tanzanair - Tanzania Air Services,0,Seronera Airport (SEU),,unk,,
28 Jun 2013,Antonov An-2R,UP-A0190,Asia Continental Avialines,1,"near Terenozek, Kyzylorda Province",,w/o,,
28 Jun 2013,Antonov An-2,RF-00408,DOSAAF,0,near Nekrasovka,,w/o,,
29 Jun 2013,Embraer EMB-110P1 Bandeirante,ZS-NVB,Batair Cargo,2,"4,6 km NW of Francistown Airport (FRW)",,sub,,
2 Jul 2013,Curtiss C-46F,N1837M,Everts Air Fuel,0,"Fairbanks International Airport, AK (FAI/PAFA)",,sub,,
3 Jul 2013,Airbus A320-212,JY-PTA,Petra Airlines,0,Tripoli International Airport (TIP),,sub,,
3 Jul 2013,Canadair CL-215-6B11 (CL-415),C-FIZU,Government of Newfoundland and Labrador,0,"Moosehead Lake, NL",,sub,,
5 Jul 2013,Rockwell Sabreliner 65,XB-RSC,Eseasa Contrucciones,0,"Las Vegas-McCarran International Airport, NV (LAS)",,sub,,
6 Jul 2013,Boeing 777-28EER,HL7742,Asiana Airlines,3,"San Francisco International Airport, CA (SFO)",,w/o,,
7 Jul 2013,de Havilland Canada DHC-3T Texas Turbine Otter,N93PC,Rediske Air,10,"Soldotna Airport, AK (SXQ)",,w/o,,
12 Jul 2013,Boeing 777-232,N863DA,Delta Air Lines,0,"Atlanta, Georgia",,non,,
12 Jul 2013,Boeing 787-8 Dreamliner,ET-AOP,Ethiopian Airlines,0,London-Heathrow Airport (LHR),,sub,,
15 Jul 2013,Antonov An-2R,UP-A0126,Astana Flown Spur,0,"Shieli district, Kyzylorda region",,sub,,
15 Jul 2013,Cessna 208B Grand Caravan,8R-AMS,Air Services Limited - ASL,0,near Matthews Ridge Airport (MWJ),,sub,,
17 Jul 2013,Cessna 208B Grand Caravan,N732MD,Air Choice One,0,"Chicago-O'Hare International Airport, IL (ORD)",,sub,,
18 Jul 2013,Boeing 737-8AS (WL),EI-DWF,Ryanair,0,Perugia,,non,,
19 Jul 2013,IRMA/Britten-Norman BN-2A-21 Islander,HP-1338MF,My Flight Corp,0,"Isla Perico, Panama City",,sub,,
21 Jul 2013,Antonov An-2R,UR-ART,Albatross Avia,0,"Pyatikhatki, Krasnoperekopsky region",,sub,,
21 Jul 2013,Sukhoi Superjet 100-95,97005,Sukhoi Civil Aircraft,0,KeflavÃ­k International Airport (KEF),,sub,,
22 Jul 2013,Boeing 737-7H4 (WL),N753SW,Southwest Airlines,0,"New York-La Guardia Airport, NY (LGA)",,sub,,
25 Jul 2013,Canadair CL-600-2A12 Challenger 601,N163WG,Blue Water Aviation Inc.,0,unknown,,sub,,
28 Jul 2013,Antonov An-2,FLA-3618K,private,0,"0,5 km from Shakhty Airport",,w/o,,
29 Jul 2013,Saab 340B,UR-ARO,"Air Urga, opf United Nations - UN",0,Lubumbashi International Airport (FBM),,sub,,
31 Jul 2013,Boeing 737-76N,N173AT,AirTran Airways,0,Batopilas,,non,,
4 Aug 2013,ATR 72-202,EC-GQF,NAYSA Aerotaxis,0,30 nm from Tenerife Sur (GCTS),,non,,
5 Aug 2013,Embraer EMB-505 Phenom 300,N327FL,Flight Options,0,"Minneapolis-Flying Cloud Airport, MN (FCM)",,sub,,
5 Aug 2013,Beechcraft B200 Super King Air,TF-MYX,MÃ½flug Air,2,"4,4 km NW of Akureyri Airport (AEY)",,w/o,,
6 Aug 2013,Fokker 50,ST-ARG,Mid Airlines,0,Khartoum-Civil Airport (KRT),,sub,,
6 Aug 2013,Shijiazhuang Y-5B,B-8473,Jingmen General Aviation Co.,1,Danfeng County,,w/o,,
9 Aug 2013,Antonov An-12B,1513,Ethiopian Air Force,4,Mogadishu International Airport (MGQ),,w/o,,
9 Aug 2013,Antonov An-12BK,UR-CAG,Ukraine Air Alliance,0,Leipzig Airport (LEJ/EDDP),,w/o,,
10 Aug 2013,Boeing 737-8FE (WL),VH-YID,Virgin Australia Airlines,0,"Melbourne-Tullamarine Airport, VIC (MEL)",,sub,,
10 Aug 2013,Airbus A320-232,VH-VGR,Jetstar Airways,0,"Melbourne-Tullamarine Airport, VIC (MEL)",,sub,,
10 Aug 2013,Antonov An-2T,D-FWJC,Air Tempelhof,0,Bienenfarm Airfield (EDOI),,sub,,
12 Aug 2013,Airbus A320-214,G-EZTC,easyJet,0,Milan-Malpensa Airport (MXP),,min,,
14 Aug 2013,Airbus A300F4-622R,N155UP,United Parcel Service - UPS,2,"1 km N of Birmingham-Shuttlesworth International Airport, AL (BHM)",,w/o,,
16 Aug 2013,Antonov An-2TP,RA-01419,Polyarnye Avialinii,0,26 km NW of Vilyuisk,,w/o,,
19 Aug 2013,Douglas DC-3C,C-GWIR,Buffalo Airways,0,"Yellowknife Airport, NT (YZF)",,sub,,
20 Aug 2013,Fairchild SA227-DC Metro 23,CP-2655,Aerocon,0,Sucre-Juana Azurduy de Padilla International Airport (SRE),,sub,,
22 Aug 2013,Britten-Norman BN-2B-27 Islander,XC-FEE,Gobierno del Estado de Chihuahua,0,"near Purisima del Maguey, Zacatecas",,w/o,,
22 Aug 2013,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FSGD,Transwest Air,1,"13 km SE of Ivanhoe Lake, NT",,w/o,,
22 Aug 2013,Beechcraft B200C Super King Air,5H-TZW,Tanzanair - Tanzania Air Services,0,Lake Manyara,,sub,,
25 Aug 2013,Antonov An-26B-100,EK-26818,"Transom Airways, lsf South Airlines",0,Guri'el Airstrip,,sub,,
1 Sep 2013,Beechcraft 1900D,N169GL,Great Lakes Airlines,0,"Telluride Airport, CO (TEX)",,sub,,
2 Sep 2013,Airbus A330-203,PT-MVL,TAM Airlines,0,"Fortaleza-Pinto Martins Airport, CE (FOR/SBFZ)",,min,,
7 Sep 2013,Canadair CL-600-2B19 Regional Jet CRJ-200ER,TC-EJA,"Europe Jet, lsf MNG Jet",0,Moskva-Vnukovo Airport (VKO),,sub,,
8 Sep 2013,Learjet 35A,XA-DAZ,Rajet Aeroservicios,0,Hermosillo-Gen Pesqueira Garcia Airport (HMO),,sub,,
8 Sep 2013,Airbus A330-321,HS-TEF,Thai Airways International,0,Bangkok-Suvarnabhumi International Airport (BKK),,sub,,
9 Sep 2013,Dornier 228-202K,CC-CNW,Transportes AÃ©reos Corporativos - CorpFlite,2,"1,9 km SE of ViÃ±a del Mar Airport (KNA)",,w/o,,
17 Sep 2013,ATR 72-202,EC-LNP,"Colombe Air Line, lsf Helitt LÃ­neas AÃ©reas",0,Ouagadougou Airport (OUA),,sub,,
18 Sep 2013,Antonov An-2R,RA-33017,"Taksavia, lsf Sosvapromgeologiya",0,48 km W of Nyagan,,sub,,
23 Sep 2013,Boeing 747-3B3,EP-MNE,Mahan Air,0,Kerman International Airport (KER),,min,,
25 Sep 2013,Cessna 208B Grand Caravan,C-FEXV,Morningstar Air Express,1,"Hudson Bay, ON",,w/o,,
27 Sep 2013,Boeing 747-428(M),9M-ACM,"Nasair, lsf Eaglexpress",0,Nouakchott-Oumtounsy International Airport (NKC),,min,,
27 Sep 2013,de Havilland Canada DHC-8-402Q Dash 8,9A-CQC,Croatia Airlines,0,ZÃ¼rich-Kloten Airport (ZRH),,sub,,
29 Sep 2013,Bombardier DHC-8-402Q Dash 8,N449QX,Horizon Air,0,"Reno, Nevada",,non,,
29 Sep 2013,Cessna 525A CitationJet CJ2,N194SJ,CREX-MML LLC,4,"Santa Monica Airport, CA (SMO)",,w/o,,
29 Sep 2013,Airbus A320-216,EI-EIB,Alitalia,0,Roma-Fiumicino Airport (FCO),,sub,,
3 Oct 2013,Airbus A330-302,B-18358,China Airlines,0,"890km ENE of Darwin, NT",,min,,
3 Oct 2013,Embraer EMB-120RT Brasilia,5N-BJY,Associated Aviation,16,Lagos-Murtala Muhammed International Airport (LOS),,w/o,,
5 Oct 2013,de Havilland Canada DHC-8-202,N356PH,United States Air Force - USAF,4,"AcandÃ­, ChocÃ³ Province",,w/o,,
6 Oct 2013,Antonov An-2,RA-31505,Sputnik,0,"Sevryukova, Belgorod region",,w/o,,
6 Oct 2013,Pilatus Britten-Norman BN-2A-8 Islander,N909GD,Air Flamenco,1,"6,5 km W off Cayo Luis PeÃ±a",,w/o,,
6 Oct 2013,Saab 340B,HS-GBG,Nok Mini Airlines,0,Udon Thani Airport (UTH),,sub,,
7 Oct 2013,Airbus A330-301,RP-C3336,Philippine Air Lines,0,Manila-Ninoy Aquino International Airport (MNL),,sub,,
10 Oct 2013,Antonov An-2T,UR-54853,private,2,"near Skulyn, Volyns'ka region",,w/o,,
10 Oct 2013,de Havilland Canada DHC-6 Twin Otter 310,9M-MDM,MASwings,2,Kudat Airport (KUD),,sub,,
11 Oct 2013,Cessna 208B Grand Caravan,5H-KEN,Tropical Air,0,Likawage Airstrip,,w/o,,
12 Oct 2013,Cessna 525A CitationJet CJ2+,N368PK,Executive AirShare,0,"near Lincoln Municipal Airport, NE (LNK)",,sub,,
14 Oct 2013,Cessna 208B Grand Caravan,XA-TXM,AereoServicio Guerrero,14,26 km W of Loreto Airport (LTO),,w/o,,
15 Oct 2013,Embraer EMB-500 Phenom 100,N610AS,Executive AirShare,0,"Wichita-Colonel James Jabara Airport, KS (KAAO)",,sub,,
16 Oct 2013,Hawker Siddeley HS-748-209 Srs.2A,C-FFFS,Wasaya Airways,0,"Kenora Airport, ON (YQK)",,sub,,
16 Oct 2013,ATR 72-600 (72-212A),RDPL-34233,Lao Airlines,49,8 km NW of Pakse Airport (PKZ),,w/o,,
18 Oct 2013,Boeing 767-322,N665UA,United Airlines,0,"Houston, Texas",,non,,
18 Oct 2013,Cessna 500 Citation I,N610ED,Dufresne Inc.,2,"ca 3 km SE of Derby, KS",,w/o,,
19 Oct 2013,ATR 42-320 (F),P2-PXY,"Air Niugini, lsf Farnair Switzerland",0,Madang Airport (MAG),,sub,,
19 Oct 2013,British Aerospace BAe-146-200,RP-C5525,SkyJet Airlines,0,Balesin Airstrip,,sub,,
21 Oct 2013,Cessna 208B Grand Caravan,N861MA,Mokulele Airlines,0,"Piilani Highway, Kihei, Maui",,sub,,
23 Oct 2013,Beechcraft 1900C,N575U,ERA Aviation,0,"Homer Airport, AK (HOM)",,sub,,
25 Oct 2013,Fokker F-27 Friendship 500F,I-MLVT,"Europe Airpost, opb Miniliner",0,Paris-Charles de Gaulle Airport (CDG),,sub,,
26 Oct 2013,Antonov An-2,unreg.,private,2,"Tayozhny, Krasnoyarsk region, East Siberia",,w/o,,
29 Oct 2013,Cessna 208B Grand Caravan,PK-ICY,Pegasus Air Services,0,Pogapa Airstrip,,sub,,
xx Oct 2013,Embraer EMB-110P Bandeirante,CU-T1552,Aerocaribbean,0,Havana-JosÃ© MartÃ­ International Airport (HAV),,sub,,
3 Nov 2013,Pilatus Britten-Norman BN-2B-21 Islander,G-CIAS,Channel Islands Air Search - CIAS,0,"Devil's Hole, Saint Mary, Jersey",,sub,,
3 Nov 2013,Fairchild SA227-AC Metro III,CP-2754,Aerocon,8,Riberalta Airport (RIB),,w/o,,
4 Nov 2013,Hawker Siddeley DH-125-400A,XB-MGM,Unknown,0,"13 km N of Buena Vista, Apure",,w/o,,
7 Nov 2013,Embraer ERJ 190-100 IGW (ERJ-190AR),LV-CIE,Austral Lineas AÃ©reas,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",,min,,
7 Nov 2013,Boeing 737-7Q8 (WL),LV-CYO,Aerolineas Argentinas,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",,min,,
10 Nov 2013,Fairchild SA227-AC Metro III,C-FFZN,Bearskin Airlines,5,"ca 0,8 km S of Red Lake Airport, ON (YRL)",,w/o,,
11 Nov 2013,Canadair CL-600-2A12 Challenger 601,N54VS,"Challenger 5189 Leasing, LLC",0,Caracas-SimÃ³n BolÃ­var International Airport (CCS),,sub,,
15 Nov 2013,Embraer ERJ 190-100 IGW (ERJ-190AR),LV-CKZ,Austral Lineas AÃ©reas,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",,sub,,
17 Nov 2013,Antonov An-2R,9Q-CFT,Air Kasai,0,"Kamako, West-KasaÃ¯",,sub,,
17 Nov 2013,Boeing 737-53A,VQ-BBN,Tatarstan Airlines,50,Kazan International Airport (KZN),,w/o,,
19 Nov 2013,Learjet 35A,XA-USD,Aero J.L.,4,"5 km NE off Fort Lauderdale International Airport, FL (FLL)",,w/o,,
22 Nov 2013,Beechcraft 1900C-1,N575X,Era Alaska,0,"Badami Airport, AK (PABP)",,sub,,
24 Nov 2013,de Havilland Canada DHC-8-102,N808EX,"US Airways Express, opb Piedmont Airlines",0,"28 km N of Philadelphia International Airport, PA (PHL)",,sub,,
24 Nov 2013,McDonnell Douglas MD-11F,D-ALCE,Lufthansa Cargo,0,"SÃ£o Paulo/Campinas-Viracopos International Airport, SP (VCP)",,sub,,
25 Nov 2013,Douglas C-118A Liftmaster (DC-6A),N100CE,Everts Air Cargo,0,"Nuiqsut, AK",,sub,,
25 Nov 2013,Beechcraft B200 Super King Air,VN-B594,Vietnam Air Services Company - VASCO,0,Buon Me Thuot (Ban Me Thuot)-Phung-Duc Airport (BMV),,sub,,
25 Nov 2013,Cessna 208B Grand Caravan,P2-SAH,Tropicair,3,Kibeni,,sub,,
29 Nov 2013,Bombardier DHC-8-402Q Dash 8,JA462A,ANA Wings,0,20 km E of Fukue Airport (FUJ),,sub,,
29 Nov 2013,Cessna 208B Grand Caravan,N12373,Era Alaska,4,"1,6 km SE of Saint Mary's Airport, AK (KSM)",,w/o,,
29 Nov 2013,Embraer ERJ 190-100 IGW (ERJ-190AR),C9-EMC,Linhas AÃ©reas de MoÃ§ambique - LAM,33,Bwabwata National Park,,w/o,,
30 Nov 2013,Learjet 35A,(N175BA),Unknown,0,SW of San Fernando de Apure,,w/o,,
30 Nov 2013,Antonov An-26B,NAF-3-642,Namibian Air Force,0,Omega Airport (OMG),,sub,,
2 Dec 2013,Cessna 560 Citation Encore,N810QS,NetJets,0,"over Walton, IN",,sub,,
